sim_time,event,value
17.833334263,tag,0
30.400001585,waypoint,0
41.233335483,tag,1
54.683336185,waypoint,1
66.700003478,tag,2
78.433337423,waypoint,2
92.750004837,tag,3
104.733338795,waypoint,3
116.466672740,tag,4
128.433340031,waypoint,4
166.783342031,tag,5
179.733342707,waypoint,5
186.950009750,waypoint,6
203.433343943,tag,0
215.983344597,waypoint,0
226.766678493,tag,1
240.166679192,waypoint,1
251.983346475,tag,2
264.050013771,waypoint,2
278.533347859,tag,3
281.616681354,tag,4
290.316681807,waypoint,3
