sim_time,event,value
19.133334331,tag,0
31.416668305,waypoint,0
32.516668362,recovery_enter,Spin
34.383335126,recovery_exit,Spin
34.700001809,recovery_enter,Wait
39.433335389,tag,480
39.716668738,recovery_exit,Wait
39.866668745,recovery_enter,BackUp
46.166669074,recovery_exit,BackUp
47.466669142,recovery_enter,Spin
49.300002571,recovery_exit,Spin
58.483336383,tag,1
72.233337100,waypoint,2
84.150004388,tag,2
96.050005009,waypoint,3
110.550005765,tag,3
122.216673040,waypoint,4
133.250006949,tag,4
146.283340962,waypoint,5
185.333342999,tag,5
197.750010313,waypoint,6
