sim_time,event,value,battery
17.500000912,tag,1,0.932039
30.266668245,waypoint,1,0.882721
41.450002161,tag,2,0.834849
55.100002873,waypoint,2,0.782531
62.166669908,recovery_enter,ClearGlobalCostmap-Context,0.751094
62.166669908,recovery_exit,ClearGlobalCostmap-Context,0.751094
62.183336576,recovery_enter,ClearLocalCostmap-Context,0.751094
62.183336576,recovery_exit,ClearLocalCostmap-Context,0.751094
62.200003243,recovery_enter,ClearingActions,0.751094
62.200003243,recovery_enter,ClearLocalCostmap-Subtree,0.751094
62.200003243,recovery_exit,ClearLocalCostmap-Subtree,0.751094
62.200003243,recovery_enter,ClearGlobalCostmap-Subtree,0.751094
62.200003243,recovery_exit,ClearGlobalCostmap-Subtree,0.751094
62.200003243,recovery_exit,ClearingActions,0.751094
67.383336847,tag,3,0.729463
78.566670764,waypoint,3,0.688131
89.316671324,recovery_enter,ClearGlobalCostmap-Context,0.640415
89.316671324,recovery_exit,ClearGlobalCostmap-Context,0.640415
89.350004659,recovery_enter,ClearLocalCostmap-Context,0.640415
89.350004659,recovery_exit,ClearLocalCostmap-Context,0.640415
89.383337995,recovery_enter,Spin,0.640415
90.583338057,recovery_exit,Spin,0.636803
90.583338057,recovery_enter,Wait,0.636803
95.666671656,recovery_exit,Wait,0.620297
99.700005199,tag,4,0.602252
111.783339163,waypoint,4,0.556728
123.266673095,tag,5,0.503718
136.083340430,waypoint,5,0.455453
138.850007241,recovery_enter,ClearGlobalCostmap-Context,0.446328
138.850007241,recovery_exit,ClearGlobalCostmap-Context,0.446328
138.883340576,recovery_enter,ClearLocalCostmap-Context,0.446328
138.883340576,recovery_exit,ClearLocalCostmap-Context,0.446328
138.916673911,recovery_enter,BackUp,0.446328
148.983341103,recovery_exit,BackUp,0.412009
148.983341103,recovery_enter,ClearingActions,0.412009
148.983341103,recovery_enter,ClearLocalCostmap-Subtree,0.412009
148.983341103,recovery_exit,ClearLocalCostmap-Subtree,0.412009
148.983341103,recovery_enter,ClearGlobalCostmap-Subtree,0.412009
148.983341103,recovery_exit,ClearGlobalCostmap-Subtree,0.412009
148.983341103,recovery_exit,ClearingActions,0.412009
185.400009669,tag,0,0.252077
199.166677054,waypoint,0,0.198698
