sim_time,event,value
409.866688042,tag,1,0.938435
422.816688718,waypoint,1,0.888967
433.916689297,tag,2,0.842131
447.083356650,waypoint,2,0.788892
458.950023936,tag,3,0.740086
471.316691247,waypoint,3,0.691407
485.500025320,tag,4,0.629349
497.350025938,waypoint,4,0.583921
503.950026283,recovery_enter,ClearGlobalCostmap-Context,0.557508
503.950026283,recovery_exit,ClearGlobalCostmap-Context,0.557508
503.966692950,recovery_enter,ClearLocalCostmap-Context,0.557508
503.966692950,recovery_exit,ClearLocalCostmap-Context,0.557508
504.000026285,recovery_enter,Spin,0.552973
506.333359740,recovery_exit,Spin,0.544906
513.083360092,tag,5,0.513960
525.100027386,waypoint,5,0.469316
563.833362739,tag,0,0.303876
578.150030152,waypoint,0,0.246720
