sim_time,event,value,soc
373.200019463,run_started,3,0.999609
402.666687667,waypoint,1,0.860467
402.683354334,tag,1,0.860467
426.600022248,waypoint,2,0.745631
426.633355583,tag,2,0.745631
450.116690142,waypoint,3,0.631717
450.266690149,tag,3,0.631326
475.816691482,waypoint,4,0.505702
475.866691485,tag,4,0.505702
504.016692953,waypoint,5,0.367738
504.133359625,tag,5,0.367346
530.200027652,waypoint,6,0.239652
530.216694319,dock,patrol_done,0.239652
530.300027657,tag,6,0.239260
560.433362562,waypoint,0,0.092382
560.433362562,run_ended,3,0.092382
