sim_time,event,value,soc
946.800049379,run_started,6,0.999609
951.416716286,recovery,enter,0.980106
951.416716286,recovery_enter,ClearGlobalCostmap-Context,0.980106
951.416716286,recovery_exit,ClearGlobalCostmap-Context,0.980106
951.450049621,recovery_enter,ClearLocalCostmap-Context,0.980106
951.450049621,recovery_exit,ClearLocalCostmap-Context,0.980106
951.466716289,recovery_enter,Wait,0.980106
956.483383217,recovery_exit,Wait,0.960080
956.483383217,recovery,exit,0.960080
981.033384498,waypoint,1,0.841552
1005.183385757,waypoint,2,0.726181
1028.866720326,waypoint,3,0.611395
1054.666721671,waypoint,4,0.484673
1082.333389781,waypoint,5,0.349198
1108.533391147,waypoint,6,0.221086
1108.533391147,dock,patrol_done,0.221086
1139.050059406,waypoint,0,0.072574
1139.050059406,run_ended,6,0.072574
