sim_time,event,value,soc
742.300038713,run_started,5,0.999604
770.483373517,waypoint,1,0.865651
794.100041415,waypoint,2,0.752007
794.216708088,tag,2,0.751611
817.200042620,waypoint,3,0.639715
828.033376518,recovery,enter,0.583997
828.033376518,recovery_enter,ClearGlobalCostmap-Context,0.583997
828.033376518,recovery_exit,ClearGlobalCostmap-Context,0.583997
828.066709853,recovery_enter,ClearLocalCostmap-Context,0.583997
828.066709853,recovery_exit,ClearLocalCostmap-Context,0.583997
828.083376521,recovery_enter,Spin,0.583997
829.366709921,recovery_exit,Spin,0.577894
829.366709921,recovery_enter,Wait,0.577894
834.433376852,recovery_exit,Wait,0.557735
834.433376852,recovery,exit,0.557735
849.816710988,waypoint,4,0.485013
858.333378098,recovery,enter,0.441614
858.333378098,recovery_enter,ClearGlobalCostmap-Context,0.441614
858.333378098,recovery_exit,ClearGlobalCostmap-Context,0.441614
858.350044766,recovery_enter,ClearLocalCostmap-Context,0.441614
858.350044766,recovery_exit,ClearLocalCostmap-Context,0.441614
858.350044766,recovery_enter,BackUp,0.441614
868.383378623,recovery_exit,BackUp,0.401531
868.383378623,recovery_enter,ClearLocalCostmap-Subtree,0.401531
868.383378623,recovery_exit,ClearLocalCostmap-Subtree,0.401531
868.383378623,recovery_enter,ClearGlobalCostmap-Subtree,0.401531
868.383378623,recovery_exit,ClearGlobalCostmap-Subtree,0.401531
868.383378623,recovery,exit,0.401531
887.600046291,waypoint,5,0.308648
887.816712969,tag,5,0.307861
909.000047408,dock,low_soc,0.199865
940.033382359,waypoint,0,0.048389
940.033382359,run_ended,5,0.048389
