sim_time,event,value,soc
0.100000005,run_started,1,0.999609
30.783334938,waypoint,1,0.855732
54.766669522,waypoint,2,0.740761
55.150002876,tag,2,0.739099
78.250004081,waypoint,3,0.626827
89.083337979,recovery,enter,0.570943
89.083337979,recovery_enter,ClearGlobalCostmap-Context,0.570943
89.083337979,recovery_exit,ClearGlobalCostmap-Context,0.570943
89.116671314,recovery_enter,ClearLocalCostmap-Context,0.570398
89.116671314,recovery_exit,ClearLocalCostmap-Context,0.570398
89.150004649,recovery_enter,ClearLocalCostmap-Subtree,0.570398
89.150004649,recovery_exit,ClearLocalCostmap-Subtree,0.570398
89.150004649,recovery_enter,ClearGlobalCostmap-Subtree,0.570398
89.150004649,recovery_exit,ClearGlobalCostmap-Subtree,0.570398
89.150004649,recovery,exit,0.570398
104.400005444,waypoint,4,0.498771
104.716672128,tag,4,0.497509
132.200006894,waypoint,5,0.362391
132.400006905,tag,5,0.361544
158.500008266,waypoint,6,0.234004
158.500008266,dock,patrol_done,0.234004
188.883343184,waypoint,0,0.086388
188.883343184,run_ended,1,0.086388
