sim_time,event,value,soc
564.800029456,run_started,4,0.999670
578.933363527,tag,1,0.941102
591.833364199,waypoint,1,0.892369
602.633364763,tag,2,0.845695
616.250032139,waypoint,2,0.794019
627.933366082,tag,3,0.742311
640.150033386,waypoint,3,0.696513
654.450034132,tag,4,0.633349
669.383368244,recovery_enter,ClearLocalCostmap-Context,0.577204
669.383368244,recovery_exit,ClearLocalCostmap-Context,0.577204
671.083368333,waypoint,4,0.571522
677.683368677,recovery_enter,ClearGlobalCostmap-Context,0.542688
677.683368677,recovery_exit,ClearGlobalCostmap-Context,0.542688
677.733368679,recovery_enter,ClearLocalCostmap-Context,0.542242
677.733368679,recovery_exit,ClearLocalCostmap-Context,0.542242
677.766702014,recovery_enter,BackUp,0.542242
687.816702539,recovery_exit,BackUp,0.508161
687.816702539,recovery_enter,ClearLocalCostmap-Subtree,0.508161
687.816702539,recovery_exit,ClearLocalCostmap-Subtree,0.508161
687.816702539,recovery_enter,ClearGlobalCostmap-Subtree,0.508161
687.816702539,recovery_exit,ClearGlobalCostmap-Subtree,0.508161
688.450035905,recovery_enter,ClearGlobalCostmap-Context,0.505963
688.450035905,recovery_exit,ClearGlobalCostmap-Context,0.505963
688.500035908,recovery_enter,ClearLocalCostmap-Context,0.505521
688.500035908,recovery_exit,ClearLocalCostmap-Context,0.505521
688.533369243,recovery_enter,Spin,0.505521
689.700035970,recovery_exit,Spin,0.500979
689.700035970,recovery_enter,Wait,0.500979
694.766702901,recovery_exit,Wait,0.484350
700.183369850,tag,5,0.460187
712.300037149,waypoint,5,0.414393
750.633372481,tag,0,0.247717
766.766706656,recovery_enter,ClearLocalCostmap-Context,0.185319
766.766706656,recovery_exit,ClearLocalCostmap-Context,0.185319
776.816707180,recovery_enter,BackUp,0.147356
783.483374195,recovery_exit,BackUp,0.125204
792.416707994,waypoint,0,0.093133
792.416707994,run_ended,4,0.093133
