sim_time,event,value,soc
1127.700058814,run_started,7,0.999609
1158.450060417,waypoint,1,0.855359
1158.450060417,tag,1,0.855359
1184.150061758,waypoint,2,0.733668
1184.166728425,tag,2,0.733668
1213.516729956,recovery,enter,0.593088
1213.516729956,recovery_enter,ClearLocalCostmap-Context,0.593088
1213.516729956,recovery_exit,ClearLocalCostmap-Context,0.593088
1213.516729956,recovery,exit,0.593088
1217.766730178,waypoint,3,0.576167
1217.800063513,tag,3,0.575771
1244.516731573,waypoint,4,0.445492
1272.600066371,waypoint,5,0.307374
1272.700066376,tag,5,0.307374
1293.700067471,dock,low_soc,0.199946
1325.050069106,waypoint,0,0.047297
1325.050069106,run_ended,7,0.047297
