sim_time,event,value,soc
2272.200118504,run_started,13,0.999604
2300.683453323,waypoint,1,0.864426
2300.750119993,tag,1,0.864030
2324.016787873,waypoint,2,0.751853
2324.050121208,tag,2,0.751853
2346.933455735,waypoint,3,0.640388
2346.933455735,tag,3,0.640388
2372.900123756,waypoint,4,0.513251
2400.000125169,waypoint,5,0.379975
2400.066791839,tag,5,0.379975
2426.400126546,waypoint,6,0.250756
2426.400126546,dock,patrol_done,0.250756
2455.900128085,waypoint,0,0.106263
2455.900128085,run_ended,13,0.106263
